SO_No,SO_No_TPOS,SO_Date,Customer_No,Customer_Name,SO_Type,Salesman_Code,Salesman_Name,Partnumber,Qty,Retail_Price,Scp_Disc,Campaign_Code
SO2501039476,TPOS00081951,03/01/2025,C1017,PT CAHAYA MOTOR,3,002-S4,Maman Susanto,51B217U539,1,1097300,2,
SO2501039477,TPOS00081952,18/01/2025,C1017,PT CAHAYA MOTOR,3,002-S4,Maman Susanto,35E388J640,1,262100,0,
SO2501039478,TPOS00081953,06/01/2025,C1020,PT CIPTA SUKSES,3,002-S3,Teguh Suryana,84N838B423,55,473600,0,
SO2501039479,TPOS00081954,27/01/2025,C1020,PT CIPTA SUKSES,3,002-S3,Teguh Suryana,44D742V508,4,306800,5,
SO2501039480,TPOS00081955,09/01/2025,C1020,PT CIPTA SUKSES,3,002-S3,Teguh Suryana,74L163C435,178,53100,1,
SO2501039481,TPOS00081956,21/01/2025,C1021,TOKO GEMILANG SERVIS,3,002-S4,Maman Susanto,74L163C435,155,28300,0,
SO2501039482,TPOS00081957,06/01/2025,C1021,TOKO GEMILANG SERVIS,3,002-S4,Maman Susanto,19K823Y952,114,56500,5,
SO2501039483,TPOS00081958,18/01/2025,C1023,TOKO JAYA PARTS,3,002-S3,Teguh Suryana,28Q472X142,1,239000,1,
SO2501039484,TPOS00081959,07/01/2025,C1023,TOKO JAYA PARTS,3,002-S3,Teguh Suryana,56N362A527,4,291900,2,
SO2501039485,TPOS00081960,23/01/2025,C1023,TOKO JAYA PARTS,3,002-S3,Teguh Suryana,37N358Y580,14,282400,4,
SO2501039486,TPOS00081961,16/01/2025,C1024,TB SURYA MAKMUR,3,002-S3,Teguh Suryana,10L511K452,4,1000,3,
SO2501039487,TPOS00081962,19/01/2025,C1024,TB SURYA MAKMUR,3,002-S3,Teguh Suryana,50T574U367,1,1038200,4,
SO2501039489,TPOS00081963,08/01/2025,C1027,CV LOGAM OTOMOTIF,3,002-S4,Maman Susanto,81E731X548,3,658800,0,
SO2501039491,TPOS00081964,01/01/2025,C1027,CV LOGAM OTOMOTIF,3,002-S4,Maman Susanto,14X616U370,5,659400,5,
SO2501039493,TPOS00081965,04/01/2025,C1029,TOKO PUTRA UTAMA,3,002-S3,Teguh Suryana,79E601B153,1,1185600,5,
SO2501039494,TPOS00081966,07/01/2025,C1029,TOKO PUTRA UTAMA,3,002-S3,Teguh Suryana,94R957Z655,1,236900,4,
SO2501039496,TPOS00081967,17/01/2025,C1030,UD MANDIRI BENGKEL,3,002-S2,Agus Halim,36G554V838,3,812800,4,
SO2501039497,TPOS00081968,02/01/2025,C1032,TB HARAPAN NIAGA,3,002-S3,Teguh Suryana,30T775S770,1,1000,0,
SO2501039498,TPOS00081969,14/01/2025,C1032,TB HARAPAN NIAGA,3,002-S3,Teguh Suryana,37P869A503,1,60200,1,
SO2501039499,TPOS00081970,19/01/2025,C1032,TB HARAPAN NIAGA,3,002-S3,Teguh Suryana,16M768T328,9,313300,5,
SO2501039500,TPOS00081971,28/01/2025,C1032,TB HARAPAN NIAGA,3,002-S3,Teguh Suryana,15T281N954,1,536600,3,
SO2501039502,TPOS00081972,10/01/2025,C1033,CV PERSADA PERDANA,3,002-S2,Agus Halim,55H940F852,1,345700,4,
SO2501039505,TPOS00081973,22/01/2025,C1037,UD HARAPAN MANDIRI,3,003-S6,Dani Nugraha,87U477Z577,1,1729100,1,
SO2501039506,TPOS00081974,27/01/2025,C1037,UD HARAPAN MANDIRI,3,003-S6,Dani Nugraha,59B257Z511,3,155400,2,
SO2501039507,TPOS00081975,14/01/2025,C1039,CV PUTRA BENGKEL,3,003-S3,Maman Permana,94D594J776,1,123800,5,
SO2501039508,TPOS00081976,10/01/2025,C1039,CV PUTRA BENGKEL,3,003-S3,Maman Permana,70Z186V901,7,208800,5,
SO2501039509,TPOS00081977,19/01/2025,C1041,PT MAKMUR DIESEL MOTOR,3,003-S2,Wibowo Cahyadi,84N838B423,86,347500,1,
SO2501039510,TPOS00081978,20/01/2025,C1044,PT BERKAH KARYA,3,003-S3,Maman Permana,49N712H842,1,1461400,3,
SO2501039511,TPOS00081979,14/01/2025,C1045,PT SURYA DIESEL MOTOR,3,003-S2,Wibowo Cahyadi,74L163C435,93,78700,1,
SO2501039515,TPOS00081980,27/01/2025,C1045,PT SURYA DIESEL MOTOR,3,003-S2,Wibowo Cahyadi,20T309S220,1,609100,3,
SO2501039516,TPOS00081981,02/01/2025,C1046,TOKO BERSAMA AUTOPARTS,3,003-S5,Gunawan Hartono,46E561R940,2,310800,4,
SO2501039517,TPOS00081982,10/01/2025,C1046,TOKO BERSAMA AUTOPARTS,3,003-S5,Gunawan Hartono,41E185V152,1,171100,4,
SO2501039518,TPOS00081983,10/01/2025,C1047,CV MANDIRI AUTO,3,003-S6,Dani Nugraha,50P721E515,1,1000,5,
SO2501039519,TPOS00081984,13/01/2025,C1047,CV MANDIRI AUTO,3,003-S6,Dani Nugraha,35T712T457,1,526900,4,
SO2501039520,TPOS00081985,04/01/2025,C1047,CV MANDIRI AUTO,3,003-S6,Dani Nugraha,65V753N609,3,616700,2,
SO2501039522,TPOS00081986,20/01/2025,C1047,CV MANDIRI AUTO,3,003-S6,Dani Nugraha,16M768T328,5,143100,4,
SO2501039523,TPOS00081987,26/01/2025,C1047,CV MANDIRI AUTO,3,003-S6,Dani Nugraha,69B485S440,8,43200,0,
SO2501039524,TPOS00081988,26/01/2025,C1047,CV MANDIRI AUTO,3,003-S6,Dani Nugraha,61D734T498,2,88800,5,
SO2501039525,TPOS00081989,11/01/2025,C1050,TOKO PERKASA SPAREPART,3,003-S4,Surya Suryadi,96P290L141,1,153000,2,
SO2501039526,TPOS00081990,06/01/2025,C1052,TOKO AGUNG SERVIS,3,003-S5,Gunawan Hartono,57M624X879,27,80900,1,
SO2501039527,TPOS00081991,22/01/2025,C1058,PT SEJAHTERA PRATAMA,3,003-S4,Surya Suryadi,92L152Y358,2,259600,3,
SO2501039528,TPOS00081992,05/01/2025,C1058,PT SEJAHTERA PRATAMA,3,003-S4,Surya Suryadi,55H452L379,2,133100,2,
SO2501039529,TPOS00081993,11/01/2025,C1058,PT SEJAHTERA PRATAMA,3,003-S4,Surya Suryadi,96Q332D906,21,190900,5,
SO2501039530,TPOS00081994,06/01/2025,C1059,PT UTAMA DIESEL,3,003-S5,Gunawan Hartono,57M624X879,15,163800,3,
SO2501039531,TPOS00081995,23/01/2025,C1059,PT UTAMA DIESEL,3,003-S5,Gunawan Hartono,54S577L373,1,455900,5,
SO2501039532,TPOS00081996,15/01/2025,C1059,PT UTAMA DIESEL,3,003-S5,Gunawan Hartono,29L421G276,2,965200,2,
SO2501039533,TPOS00081997,12/01/2025,C1063,CV SURYA OTOMOTIF,3,003-S6,Dani Nugraha,16M768T328,17,245100,5,
SO2501039534,TPOS00081998,01/01/2025,C1063,CV SURYA OTOMOTIF,3,003-S6,Dani Nugraha,57M624X879,3,205500,4,
SO2501039535,TPOS00081999,26/01/2025,C1066,CV BARAT DIESEL,3,004-S3,Irfan Susanto,45F490L650,4,1000,1,
SO2501039536,TPOS00082000,27/01/2025,C1066,CV BARAT DIESEL,3,004-S3,Irfan Susanto,84N838B423,14,355700,3,
SO2501039537,TPOS00082001,02/01/2025,C1066,CV BARAT DIESEL,3,004-S3,Irfan Susanto,45E231P273,11,57800,0,
SO2501039538,TPOS00082002,23/01/2025,C1066,CV BARAT DIESEL,3,004-S3,Irfan Susanto,94J176W472,1,770500,2,
SO2501039539,TPOS00082003,23/01/2025,C1068,PT JAYA RAYA,3,004-S2,Yanto Pratama,36F449F491,1,1000,4,
SO2501039540,TPOS00082004,06/01/2025,C1071,UD PERSADA PERKASA,3,004-S1,Joko Rahayu,14M417F780,7,1564300,0,
SO2501039542,TPOS00082005,10/01/2025,C1074,TB ANUGERAH SUKSES,3,004-S1,Joko Rahayu,74X815A709,2,296800,4,
SO2501039543,TPOS00082006,09/01/2025,C1074,TB ANUGERAH SUKSES,3,004-S1,Joko Rahayu,96R745N936,1,42900,1,
SO2501039544,TPOS00082007,28/01/2025,C1074,TB ANUGERAH SUKSES,3,004-S1,Joko Rahayu,50R140X374,2,283300,4,
SO2501039545,TPOS00082008,15/01/2025,C1075,TB SENTOSA JASA,3,004-S2,Yanto Pratama,43C435B889,2,844000,4,
SO2501039546,TPOS00082009,25/01/2025,C1076,TOKO BUANA MAKMUR,3,004-S1,Joko Rahayu,41M520A284,4,200800,4,
SO2501039547,TPOS00082010,17/01/2025,C1076,TOKO BUANA MAKMUR,3,004-S1,Joko Rahayu,16M768T328,1,144400,3,
SO2501039549,TPOS00082011,27/01/2025,C1078,PT KARYA BERSATU,3,004-S2,Yanto Pratama,57M624X879,19,173200,4,
SO2501039550,TPOS00082012,11/01/2025,C1078,PT KARYA BERSATU,3,004-S2,Yanto Pratama,97W575P162,1,1083500,2,
SO2501039551,TPOS00082013,05/01/2025,C1082,PT UTARA BENGKEL,3,005-S1,Joko Cahyadi,85P440L610,85,339200,3,
SO2501039552,TPOS00082014,18/01/2025,C1083,CV ANUGERAH SEJAHTERA,3,005-S3,Sigit Nugraha,50C647B307,2,1000,2,
SO2501039554,TPOS00082015,13/01/2025,C1083,CV ANUGERAH SEJAHTERA,3,005-S3,Sigit Nugraha,45R702W841,2,1371400,5,
SO2501039555,TPOS00082016,05/01/2025,C1083,CV ANUGERAH SEJAHTERA,3,005-S3,Sigit Nugraha,81P585V119,2,1000,2,
SO2501039556,TPOS00082017,27/01/2025,C1083,CV ANUGERAH SEJAHTERA,3,005-S3,Sigit Nugraha,84F292N860,5,523000,0,
SO2501039557,TPOS00082018,14/01/2025,C1083,CV ANUGERAH SEJAHTERA,3,005-S3,Sigit Nugraha,82T619Q189,1,2551200,1,
SO2501039558,TPOS00082019,07/01/2025,C1083,CV ANUGERAH SEJAHTERA,3,005-S3,Sigit Nugraha,91C639H458,2,211100,0,
SO2501039559,TPOS00082020,20/01/2025,C1083,CV ANUGERAH SEJAHTERA,3,005-S3,Sigit Nugraha,38V593G414,1,1094000,3,
SO2501039560,TPOS00082021,05/01/2025,C1083,CV ANUGERAH SEJAHTERA,3,005-S3,Sigit Nugraha,56Z686F690,4,22200,5,
SO2501039561,TPOS00082022,10/01/2025,C1086,TOKO SURYA PARTS,3,005-S3,Sigit Nugraha,86B762F555,2,428100,0,
SO2501039562,TPOS00082023,12/01/2025,C1086,TOKO SURYA PARTS,3,005-S3,Sigit Nugraha,70G330V301,1,1000,4,
SO2501039563,TPOS00082024,05/01/2025,C1086,TOKO SURYA PARTS,3,005-S3,Sigit Nugraha,74L163C435,23,60200,0,
SO2501039564,TPOS00082025,21/01/2025,C1087,TB MAKMUR GEMILANG,3,005-S2,Fitri Nugraha,17N202H712,1,159500,1,
SO2501039566,TPOS00082026,28/01/2025,C1088,TB DHARMA JASA,3,005-S1,Joko Cahyadi,97Z976X813,4,658300,4,
SO2501039567,TPOS00082027,01/01/2025,C1088,TB DHARMA JASA,3,005-S1,Joko Cahyadi,33J828N810,1,1730900,3,
SO2501039568,TPOS00082028,21/01/2025,C1088,TB DHARMA JASA,3,005-S1,Joko Cahyadi,87D321R260,1,714300,1,
SO2501039569,TPOS00082029,22/01/2025,C1088,TB DHARMA JASA,3,005-S1,Joko Cahyadi,47F527Y605,1,635400,1,
SO2501039571,TPOS00082030,04/01/2025,C1088,TB DHARMA JASA,3,005-S1,Joko Cahyadi,77N889D756,2,447800,5,
SO2501039572,TPOS00082031,13/01/2025,C1088,TB DHARMA JASA,3,005-S1,Joko Cahyadi,80B606V147,1,484700,4,
SO2501039573,TPOS00082032,28/01/2025,C1088,TB DHARMA JASA,3,005-S1,Joko Cahyadi,84N838B423,162,332100,3,
SO2501039574,TPOS00082033,03/01/2025,C1088,TB DHARMA JASA,3,005-S1,Joko Cahyadi,10A100E412,1,742100,2,
SO2501039575,TPOS00082034,24/01/2025,C1089,PT AGUNG TEKNIK,3,005-S3,Sigit Nugraha,59V793X698,2,432400,1,
SO2501039576,TPOS00082035,17/01/2025,C1090,CV ABADI LESTARI,3,005-S3,Sigit Nugraha,96Q332D906,1,134100,4,
SO2501039577,TPOS00082036,03/01/2025,C1090,CV ABADI LESTARI,3,005-S3,Sigit Nugraha,19K823Y952,55,43700,0,
SO2501039578,TPOS00082037,10/01/2025,C1090,CV ABADI LESTARI,3,005-S3,Sigit Nugraha,85P440L610,113,289300,3,
SO2501039579,TPOS00082038,20/01/2025,C1090,CV ABADI LESTARI,3,005-S3,Sigit Nugraha,40H897P206,1,609800,1,
SO2501039580,TPOS00082039,05/01/2025,C1090,CV ABADI LESTARI,3,005-S3,Sigit Nugraha,40Y597J715,1,498600,5,
SO2501039581,TPOS00082040,23/01/2025,C1090,CV ABADI LESTARI,3,005-S3,Sigit Nugraha,75W808T180,11,1000,0,
SO2501039582,TPOS00082041,04/01/2025,C1092,UD PERSADA BENGKEL,3,005-S2,Fitri Nugraha,74L163C435,3,18500,4,
SO2501039584,TPOS00082042,14/01/2025,C1092,UD PERSADA BENGKEL,3,005-S2,Fitri Nugraha,48Q281J561,1,1564300,1,
SO2501039585,TPOS00082043,07/01/2025,C1092,UD PERSADA BENGKEL,3,005-S2,Fitri Nugraha,57M624X879,5,155700,4,
SO2501039586,TPOS00082044,12/01/2025,C1095,PT BERSAMA PERDANA,3,006-S2,Taufik Iskandar,84J618T517,9,1000,5,
SO2501039587,TPOS00082045,23/01/2025,C1100,UD MAJU SERVIS,3,007-S4,Wahyu Permana,43K359P654,50,286700,3,
SO2501039588,TPOS00082046,14/01/2025,C1100,UD MAJU SERVIS,3,007-S4,Wahyu Permana,57M624X879,17,224800,0,
SO2501039589,TPOS00082047,19/01/2025,C1100,UD MAJU SERVIS,3,007-S4,Wahyu Permana,95S196Q488,5,576300,2,
SO2501039591,TPOS00082048,15/01/2025,C1100,UD MAJU SERVIS,3,007-S4,Wahyu Permana,16M768T328,12,281700,0,
SO2501039592,TPOS00082049,10/01/2025,C1100,UD MAJU SERVIS,3,007-S4,Wahyu Permana,57M624X879,3,162700,1,
SO2501039594,TPOS00082050,03/01/2025,C1101,TB MANDIRI OTOMOTIF,3,007-S4,Wahyu Permana,84N838B423,101,276600,4,
SO2501039595,TPOS00082051,07/01/2025,C1102,CV PRIMA RAYA,3,007-S3,Mahendra Permana,16M768T328,6,196100,2,
SO2501039596,TPOS00082052,21/01/2025,C1108,TB GEMILANG PARTS,3,008-S3,Bambang Permana,45E231P273,4,39200,0,
SO2501039597,TPOS00082053,14/01/2025,C1108,TB GEMILANG PARTS,3,008-S3,Bambang Permana,82G882W445,4,815400,1,
SO2501039598,TPOS00082054,10/01/2025,C1108,TB GEMILANG PARTS,3,008-S3,Bambang Permana,84N838B423,29,389000,3,
SO2501039599,TPOS00082055,20/01/2025,C1108,TB GEMILANG PARTS,3,008-S3,Bambang Permana,35K172J996,8,692400,4,
SO2501039600,TPOS00082056,01/01/2025,C1109,CV HARAPAN MULTINDO,3,008-S2,Irfan Purnama,96E654F696,105,35700,1,
SO2501039601,TPOS00082057,20/01/2025,C1109,CV HARAPAN MULTINDO,3,008-S2,Irfan Purnama,37N358Y580,3,362700,2,
SO2501039603,TPOS00082058,16/01/2025,C1109,CV HARAPAN MULTINDO,3,008-S2,Irfan Purnama,14T776Q883,3,422600,0,
SO2501039604,TPOS00082059,09/01/2025,C1110,TOKO SENTOSA BENGKEL,3,008-S3,Bambang Permana,57M624X879,6,175900,0,
SO2501039605,TPOS00082060,04/01/2025,C1111,TOKO UTAMA PRATAMA,3,008-S4,Fitri Firmansyah,24T181C813,2,487100,0,
SO2501039606,TPOS00082061,13/01/2025,C1111,TOKO UTAMA PRATAMA,3,008-S4,Fitri Firmansyah,18L386E207,2,701800,5,
SO2501039607,TPOS00082062,16/01/2025,C1111,TOKO UTAMA PRATAMA,3,008-S4,Fitri Firmansyah,33S925H853,1,795500,5,
SO2501039608,TPOS00082063,27/01/2025,C1116,CV INDAH NIAGA,3,008-S4,Fitri Firmansyah,97P770Z553,237,25600,0,
SO2501039609,TPOS00082064,10/01/2025,C1116,CV INDAH NIAGA,3,008-S4,Fitri Firmansyah,84N838B423,96,132800,2,
SO2501039610,TPOS00082065,23/01/2025,C1119,PT HARAPAN SUKSES,3,008-S4,Fitri Firmansyah,89V823L727,7,990200,4,
SO2501039612,TPOS00082066,21/01/2025,C1123,TOKO NUSANTARA SUKSES,3,008-S2,Irfan Purnama,49W833X585,1,693800,3,
SO2501039613,TPOS00082067,17/01/2025,C1123,TOKO NUSANTARA SUKSES,3,008-S2,Irfan Purnama,78R770Y347,2,298600,4,
SO2501039614,TPOS00082068,28/01/2025,C1123,TOKO NUSANTARA SUKSES,3,008-S2,Irfan Purnama,58Q119F638,4,1080000,2,
SO2501039615,TPOS00082069,08/01/2025,C1123,TOKO NUSANTARA SUKSES,3,008-S2,Irfan Purnama,80K825X500,1,1026900,1,
SO2501039616,TPOS00082070,27/01/2025,C1123,TOKO NUSANTARA SUKSES,3,008-S2,Irfan Purnama,46K369M994,2,1000,4,
SO2501039618,TPOS00082071,01/01/2025,C1125,PD SENTOSA SEJAHTERA,3,008-S3,Bambang Permana,86H575H202,1,462200,1,
SO2501039620,TPOS00082072,19/01/2025,C1125,PD SENTOSA SEJAHTERA,3,008-S3,Bambang Permana,63E366X110,2,1000,1,
SO2501039621,TPOS00082073,28/01/2025,C1125,PD SENTOSA SEJAHTERA,3,008-S3,Bambang Permana,67N369R951,1,1020000,0,
SO2501039623,TPOS00082074,22/01/2025,C1125,PD SENTOSA SEJAHTERA,3,008-S3,Bambang Permana,93W906G628,1,513400,4,
SO2501039624,TPOS00082075,28/01/2025,C1125,PD SENTOSA SEJAHTERA,3,008-S3,Bambang Permana,81J932M634,2,1417200,2,
SO2501039625,TPOS00082076,14/01/2025,C1125,PD SENTOSA SEJAHTERA,3,008-S3,Bambang Permana,57Y559Q484,1,694600,1,
SO2501039626,TPOS00082077,10/01/2025,C1125,PD SENTOSA SEJAHTERA,3,008-S3,Bambang Permana,93S496B321,1,1648700,2,
SO2501039627,TPOS00082078,24/01/2025,C1125,PD SENTOSA SEJAHTERA,3,008-S3,Bambang Permana,28L925R414,5,413400,5,
SO2501039628,TPOS00082079,02/01/2025,C1127,PT BUANA MANDIRI,3,008-S3,Bambang Permana,60M473A959,3,696800,1,
SO2501039629,TPOS00082080,25/01/2025,C1129,PT SELATAN AUTOPARTS,C,009-S3,Hadi Darmawan,70Z186V901,54,476000,4,GBR25-01
SO2501039630,TPOS00082081,12/01/2025,C1129,PT SELATAN AUTOPARTS,3,009-S3,Hadi Darmawan,97P770Z553,32,79900,0,
SO2501039631,TPOS00082082,20/01/2025,C1129,PT SELATAN AUTOPARTS,3,009-S3,Hadi Darmawan,67W488F842,1,2312900,0,
SO2501039635,TPOS00082083,15/01/2025,C1132,CV BERSAMA MOBILINDO,3,009-S4,Umar Permana,95F776C132,2,1000,3,
SO2501039636,TPOS00082084,25/01/2025,C1133,CV KARYA JASA,3,009-S4,Umar Permana,66E782Y975,3,725700,1,
SO2501039637,TPOS00082085,07/01/2025,C1133,CV KARYA JASA,3,009-S4,Umar Permana,70Z186V901,119,310400,4,
SO2501039639,TPOS00082086,24/01/2025,C1134,CV MAJU PARTS,3,009-S3,Hadi Darmawan,43V955C941,3,535700,5,
SO2501039640,TPOS00082087,28/01/2025,C1134,CV MAJU PARTS,3,009-S3,Hadi Darmawan,38A884P434,2,255800,5,
SO2501039642,TPOS00082088,06/01/2025,C1136,PT TEKNIK PERKASA,3,009-S4,Umar Permana,20N181A494,1,1204000,0,
SO2501039643,TPOS00082089,14/01/2025,C1136,PT TEKNIK PERKASA,3,009-S4,Umar Permana,97P770Z553,82,55200,0,
SO2501039644,TPOS00082090,21/01/2025,C1137,UD MEGA RAYA,3,009-S2,Yuli Pratama,41E185V152,8,169000,2,
SO2501039645,TPOS00082091,01/01/2025,C1137,UD MEGA RAYA,3,009-S2,Yuli Pratama,19F990F685,2,567700,2,
SO2501039646,TPOS00082092,12/01/2025,C1138,UD SEJAHTERA RAYA,3,009-S2,Yuli Pratama,69B485S440,28,13000,4,
SO2501039647,TPOS00082093,06/01/2025,C1138,UD SEJAHTERA RAYA,3,009-S2,Yuli Pratama,96Q332D906,37,210500,5,
SO2501039648,TPOS00082094,18/01/2025,C1142,CV MULIA JASA,3,009-S3,Hadi Darmawan,57M624X879,4,239900,5,
SO2501039649,TPOS00082095,02/01/2025,C1142,CV MULIA JASA,3,009-S3,Hadi Darmawan,37N358Y580,21,227900,2,
SO2501039650,TPOS00082096,08/01/2025,C1142,CV MULIA JASA,3,009-S3,Hadi Darmawan,63K341G642,1,528600,4,
SO2501039651,TPOS00082097,21/01/2025,C1142,CV MULIA JASA,3,009-S3,Hadi Darmawan,96E654F696,65,1000,3,
SO2501039652,TPOS00082098,11/01/2025,C1142,CV MULIA JASA,3,009-S3,Hadi Darmawan,96Q332D906,22,302800,0,
SO2501039653,TPOS00082099,05/01/2025,C1143,PT MITRA SEJAHTERA,3,009-S3,Hadi Darmawan,63G438F267,1,380100,0,
SO2501039654,TPOS00082100,21/01/2025,C1143,PT MITRA SEJAHTERA,3,009-S3,Hadi Darmawan,16W595U140,1,161600,4,
SO2501039656,TPOS00082101,20/01/2025,C1144,CV ANUGERAH LESTARI,3,009-S5,Mahendra Hartono,16M768T328,3,285800,1,
SO2501039657,TPOS00082102,06/01/2025,C1144,CV ANUGERAH LESTARI,3,009-S5,Mahendra Hartono,70Z186V901,288,274300,3,
SO2501039658,TPOS00082103,23/01/2025,C1144,CV ANUGERAH LESTARI,3,009-S5,Mahendra Hartono,59B257Z511,3,140800,2,
SO2501039660,TPOS00082104,04/01/2025,C1145,TOKO BERKAH SPAREPART,3,009-S3,Hadi Darmawan,65Z676S129,1,354400,3,
SO2501039661,TPOS00082105,03/01/2025,C1146,UD AGUNG PRATAMA,3,009-S5,Mahendra Hartono,70J861W788,1,1000,5,
SO2501039662,TPOS00082106,07/01/2025,C1146,UD AGUNG PRATAMA,3,009-S5,Mahendra Hartono,19J517N909,5,734400,3,
SO2501039663,TPOS00082107,01/01/2025,C1146,UD AGUNG PRATAMA,3,009-S5,Mahendra Hartono,12J271B287,1,506700,5,
SO2501039664,TPOS00082108,22/01/2025,C1146,UD AGUNG PRATAMA,3,009-S5,Mahendra Hartono,48Y236X479,2,994000,4,
SO2501039665,TPOS00082109,12/01/2025,C1146,UD AGUNG PRATAMA,3,009-S5,Mahendra Hartono,33B100D772,1,1019700,5,
